ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS32376,32376.TXT,0.52570,0.18479,0.27346,4

ROUGE-1+StopWordRemoval,FNS32376,32376.TXT,0.52547,0.15717,0.24196,4

ROUGE-2+StopWordRemoval,FNS32376,32376.TXT,0.17657,0.05354,0.08217,4

ROUGE-SU4+StopWordRemoval,FNS32376,32376.TXT,0.28084,0.08379,0.12907,4

ROUGE-L+StopWordRemoval,FNS32134,32134.TXT,0.55221,0.19298,0.28601,3

ROUGE-1+StopWordRemoval,FNS32134,32134.TXT,0.66152,0.11273,0.19264,3

ROUGE-2+StopWordRemoval,FNS32134,32134.TXT,0.25674,0.04252,0.07296,3

ROUGE-SU4+StopWordRemoval,FNS32134,32134.TXT,0.36299,0.06044,0.10362,3

ROUGE-L+StopWordRemoval,FNS32135,32135.TXT,0.43407,0.24027,0.30932,4

ROUGE-1+StopWordRemoval,FNS32135,32135.TXT,0.48997,0.18684,0.27052,4

ROUGE-2+StopWordRemoval,FNS32135,32135.TXT,0.15297,0.05738,0.08345,4

ROUGE-SU4+StopWordRemoval,FNS32135,32135.TXT,0.24877,0.09352,0.13593,4

ROUGE-L+StopWordRemoval,FNS30991,30991.TXT,0.68063,0.16969,0.27165,4

ROUGE-1+StopWordRemoval,FNS30991,30991.TXT,0.64055,0.08725,0.15357,4

ROUGE-2+StopWordRemoval,FNS30991,30991.TXT,0.37397,0.03895,0.07056,4

ROUGE-SU4+StopWordRemoval,FNS30991,30991.TXT,0.46139,0.04989,0.09004,4

ROUGE-L+StopWordRemoval,FNS32136,32136.TXT,0.46942,0.29932,0.36555,4

ROUGE-1+StopWordRemoval,FNS32136,32136.TXT,0.53873,0.24478,0.33662,4

ROUGE-2+StopWordRemoval,FNS32136,32136.TXT,0.15958,0.06874,0.09609,4

ROUGE-SU4+StopWordRemoval,FNS32136,32136.TXT,0.28237,0.11805,0.16649,4

ROUGE-L+StopWordRemoval,FNS32378,32378.TXT,0.53886,0.21550,0.30787,3

ROUGE-1+StopWordRemoval,FNS32378,32378.TXT,0.65613,0.19653,0.30247,3

ROUGE-2+StopWordRemoval,FNS32378,32378.TXT,0.28364,0.07413,0.11754,3

ROUGE-SU4+StopWordRemoval,FNS32378,32378.TXT,0.39383,0.10994,0.17190,3

ROUGE-L+StopWordRemoval,FNS32139,32139.TXT,0.53338,0.30884,0.39118,3

ROUGE-1+StopWordRemoval,FNS32139,32139.TXT,0.55808,0.22554,0.32125,3

ROUGE-2+StopWordRemoval,FNS32139,32139.TXT,0.21614,0.08104,0.11788,3

ROUGE-SU4+StopWordRemoval,FNS32139,32139.TXT,0.31871,0.11742,0.17162,3

ROUGE-L+StopWordRemoval,FNS32810,32810.TXT,0.50270,0.29449,0.37141,4

ROUGE-1+StopWordRemoval,FNS32810,32810.TXT,0.53207,0.17952,0.26847,4

ROUGE-2+StopWordRemoval,FNS32810,32810.TXT,0.19921,0.06499,0.09801,4

ROUGE-SU4+StopWordRemoval,FNS32810,32810.TXT,0.29914,0.09520,0.14443,4

ROUGE-L+StopWordRemoval,FNS31601,31601.TXT,0.56992,0.20468,0.30119,4

ROUGE-1+StopWordRemoval,FNS31601,31601.TXT,0.58370,0.11833,0.19677,4

ROUGE-2+StopWordRemoval,FNS31601,31601.TXT,0.26599,0.05019,0.08445,4

ROUGE-SU4+StopWordRemoval,FNS31601,31601.TXT,0.35201,0.06589,0.11100,4

ROUGE-L+StopWordRemoval,FNS31843,31843.TXT,0.55354,0.27296,0.36562,3

ROUGE-1+StopWordRemoval,FNS31843,31843.TXT,0.58991,0.22913,0.33006,3

ROUGE-2+StopWordRemoval,FNS31843,31843.TXT,0.24524,0.08847,0.13003,3

ROUGE-SU4+StopWordRemoval,FNS31843,31843.TXT,0.34389,0.12838,0.18697,3

ROUGE-L+StopWordRemoval,FNS31844,31844.TXT,0.60994,0.16991,0.26579,3

ROUGE-1+StopWordRemoval,FNS31844,31844.TXT,0.66942,0.11699,0.19918,3

ROUGE-2+StopWordRemoval,FNS31844,31844.TXT,0.28778,0.04598,0.07929,3

ROUGE-SU4+StopWordRemoval,FNS31844,31844.TXT,0.39470,0.06354,0.10945,3

ROUGE-L+StopWordRemoval,FNS30874,30874.TXT,0.51959,0.16725,0.25305,5

ROUGE-1+StopWordRemoval,FNS30874,30874.TXT,0.42678,0.09108,0.15012,5

ROUGE-2+StopWordRemoval,FNS30874,30874.TXT,0.13848,0.02641,0.04436,5

ROUGE-SU4+StopWordRemoval,FNS30874,30874.TXT,0.22374,0.04292,0.07202,5

ROUGE-L+StopWordRemoval,FNS31040,31040.TXT,0.49655,0.25897,0.34040,3

ROUGE-1+StopWordRemoval,FNS31040,31040.TXT,0.58498,0.19069,0.28763,3

ROUGE-2+StopWordRemoval,FNS31040,31040.TXT,0.22970,0.07136,0.10889,3

ROUGE-SU4+StopWordRemoval,FNS31040,31040.TXT,0.33318,0.10235,0.15660,3

ROUGE-L+StopWordRemoval,FNS31042,31042.TXT,0.50349,0.30908,0.38303,3

ROUGE-1+StopWordRemoval,FNS31042,31042.TXT,0.56443,0.20554,0.30134,3

ROUGE-2+StopWordRemoval,FNS31042,31042.TXT,0.18068,0.06292,0.09334,3

ROUGE-SU4+StopWordRemoval,FNS31042,31042.TXT,0.30619,0.09952,0.15021,3

ROUGE-L+StopWordRemoval,FNS31165,31165.TXT,0.57906,0.29856,0.39399,3

ROUGE-1+StopWordRemoval,FNS31165,31165.TXT,0.61475,0.21008,0.31315,3

